# stable entry ID (do not change if users may have marked as known),# Swedish word (lemma),# verb | adjective | adverb | noun | numeral | etc.,# English translation,# Brazilian Portuguese translation,# semicolon-separated inflected forms for search,# optional CEFR level (A1–C2),# optional raw corpus frequency (Kelly),# optional words-per-million frequency (Kelly),# practice | kelly | manual,# example 1 Swedish sentence,# example 1 English gloss,# example 1 Portuguese gloss,# optional: past | present | future,# optional tokens: word|lemma|en|pt;word2|lemma2|en2|pt2,# example 2 Swedish (verbs: present tense),# example 2 English,# example 2 Portuguese,# example 2 tense key,# example 2 token breakdown,# example 3 Swedish (verbs: future tense),# example 3 English,# example 3 Portuguese,# example 3 tense key,# example 3 token breakdown,# optional usage note (Kelly source text)
id,lemma,type,english,portuguese,forms,cefr,frequency,wpm,source,ex1_sv,ex1_en,ex1_pt,ex1_tense,ex1_tokens,ex2_sv,ex2_en,ex2_pt,ex2_tense,ex2_tokens,ex3_sv,ex3_en,ex3_pt,ex3_tense,ex3_tokens,usage_note
kelly-2733-trovardighet,trovärdighet,noun,credibility / reliability,credibilidade,trovärdighet,A2,2817,24.71,kelly,Hennes trovärdighet är mycket viktig för vårt företag.,Her credibility is very important for our company.,A credibilidade dela é muito importante para nossa empresa.,,Hennes|hennes|Her|dela;trovärdighet|trovärdighet|credibility|credibilidade;är|är|is|é;mycket|mycket|very|muito;viktig|viktig|important|importante;för|för|for|para;vårt|vårt|our|nossa;företag.|företag|company.|empresa.,Journalisten förlorade sin trovärdighet efter den falska nyheten.,The journalist lost his credibility after the fake news.,O jornalista perdeu sua credibilidade após a notícia falsa.,,Journalisten|journalisten|The journalist|O jornalista;förlorade|förlorade|lost|perdeu;sin|sin|his|sua;trovärdighet|trovärdighet|credibility|credibilidade;efter|efter|after|após;den|den|the|a;falska|falska|fake|falsa;nyheten.|nyheten|news.|notícia.,Experten har hög trovärdighet i den vetenskapliga debatten.,The expert has high credibility in the scientific debate.,O especialista tem alta credibilidade no debate científico.,,Experten|experten|The expert|O especialista;har|har|has|tem;hög|hög|high|alta;trovärdighet|trovärdighet|credibility|credibilidade;i|i|in|no;den|den|the|o;vetenskapliga|vetenskapliga|scientific|científico;debatten.|debatten|debate.|debate.,
kelly-4715-trumma,trumma,noun,drum / culvert,tambor,trumma,B2,1104,9.68,kelly,,,,,,,,,,,,,,,,
kelly-1601-trupp,trupp,noun,troop,tropa,trupp,A2,6092,53.44,kelly,En liten trupp soldater marscherar genom den gamla staden.,A small troop of soldiers marches through the old town.,Uma pequena tropa de soldados marcha pela cidade velha.,,En|en|a|um;liten|liten|—|—;trupp|trupp|troop|tropa;soldater|soldater|—|—;marscherar|marscherar|—|—;genom|genom|—|—;den|den|it|ele;gamla|gamla|—|—;staden.|staden|—|—,Deras trupp vann tävlingen efter en mycket stark insats.,Their troop won the competition after a very strong effort.,A tropa deles venceu a competição após um esforço muito forte.,,Deras|deras|—|—;trupp|trupp|troop|tropa;vann|vann|—|—;tävlingen|tävlingen|—|—;efter|efter|—|—;en|en|a|um;mycket|mycket|much|muito;stark|stark|—|—;insats.|insats|—|—,Hela truppen förberedde sig inför kvällens stora teaterföreställning.,The whole troop prepared for the evening's big theater performance.,Toda a tropa se preparou para a grande apresentação de teatro da noite.,,Hela|hela|—|—;truppen|truppen|—|—;förberedde|förberedde|—|—;sig|sig|oneself|se;inför|inför|—|—;kvällens|kvällens|—|—;stora|stora|—|—;teaterföreställning.|teaterföreställning|—|—,
kelly-1041-tryck,tryck,noun,pressure / print,pressão / impressão,tryck,A1,10461,91.76,kelly,Det är mycket tryck i den här gamla slangen.,There is a lot of pressure in this old hose.,Há muita pressão nesta mangueira velha.,,Det|det|it|isso;är|är|is|é;mycket|mycket|much|muito;tryck|tryck|pressure|pressão;i|i|in|em;den|den|it|ele;här|här|here|aqui;gamla|gamla|—|—;slangen.|slangen|—|—,Boken har ett fint tryck på det vita omslaget.,The book has a nice print on the white cover.,O livro tem uma impressão bonita na capa branca.,,Boken|boken|—|—;har|har|has|tem;ett|ett|a|um;fint|fint|—|—;tryck|tryck|pressure|pressão;på|på|on|em;det|det|it|isso;vita|vita|—|—;omslaget.|omslaget|—|—,Vi känner stort tryck inför dagens viktiga möte.,We feel great pressure before today's important meeting.,Sentimos muita pressão antes da reunião importante de hoje.,,Vi|vi|we|nós;känner|känner|—|—;stort|stort|—|—;tryck|tryck|pressure|pressão;inför|inför|—|—;dagens|dagens|—|—;viktiga|viktiga|—|—;möte.|möte|—|—,
kelly-983-trycka,trycka,verb,print / press,imprimir / apertar,trycka;trycker;tryckte,A1,11109,97.44,kelly,Jag trycker på den röda knappen för att starta maskinen.,I press the red button to start the machine.,Eu aperto o botão vermelho para ligar a máquina.,present,Jag|jag|I|eu;trycker|trycker|—|—;på|på|on|em;den|den|it|ele;röda|röda|—|—;knappen|knappen|—|—;för|för|—|—;att|att|—|—;starta|starta|—|—;maskinen.|maskinen|—|—,De tryckte många böcker i den gamla fabriken förr.,They printed many books in the old factory before.,Eles imprimiam muitos livros na fábrica antiga antigamente.,past,De|de|they|eles;tryckte|tryckte|—|—;många|många|—|—;böcker|böcker|—|—;i|i|in|em;den|den|it|ele;gamla|gamla|—|—;fabriken|fabriken|—|—;förr.|förr|—|—,Vi ska trycka ut alla dokument inför mötet imorgon bitti.,We will print out all documents for the meeting tomorrow morning.,Nós vamos imprimir todos os documentos para a reunião amanhã de manhã.,future,Vi|vi|we|nós;ska|ska|will|vai;trycka|trycka|print|imprimir;ut|ut|out|fora;alla|alla|—|—;dokument|dokument|—|—;inför|inför|—|—;mötet|mötet|—|—;imorgon|imorgon|tomorrow|amanhã;bitti.|bitti|—|—,
kelly-2386-trygg,trygg,adjective,safe,seguro / tranquilo,trygg;trygga,A2,3453,30.29,kelly,Barnen känner sig trygga i sitt eget hem.,The children feel safe in their own home.,As crianças se sentem seguras em sua própria casa.,,Barnen|barnen|—|—;känner|känner|—|—;sig|sig|oneself|se;trygga|trygg|safe|seguro;i|i|in|em;sitt|sitt|—|—;eget|eget|—|—;hem.|hem|home|casa,Det är en trygg miljö för alla elever.,It is a safe environment for all students.,É um ambiente tranquilo para todos os alunos.,,Det|det|it|isso;är|är|is|é;en|en|a|um;trygg|trygg|safe|seguro;miljö|miljö|—|—;för|för|—|—;alla|alla|—|—;elever.|elever|—|—,Hunden verkar vara en mycket trygg vän.,The dog seems to be a very safe friend.,O cachorro parece ser um amigo muito seguro.,,Hunden|hunden|—|—;verkar|verkar|—|—;vara|vara|—|—;en|en|a|um;mycket|mycket|much|muito;trygg|trygg|safe|seguro;vän.|vän|—|—,
kelly-6079-trygga,trygga,verb,safeguard / secure,a salvo,trygga,C1,712,6.25,kelly,,,,,,,,,,,,,,,,
kelly-1955-trygghet,trygghet,noun,security / safety,segurança,trygghet,A2,4590,40.26,kelly,Barn behöver trygghet för att kunna växa och må bra.,Children need security to be able to grow and feel well.,Crianças precisam de segurança para poder crescer e se sentir bem.,,Barn|barn|—|—;behöver|behöver|—|—;trygghet|trygghet|security|segurança;för|för|—|—;att|att|—|—;kunna|kunna|—|—;växa|växa|—|—;och|och|and|e;må|må|—|—;bra.|bra|good|bom,Hennes hem ger henne en känsla av lugn och trygghet.,Her home gives her a feeling of calm and safety.,A casa dela lhe dá uma sensação de calma e segurança.,,Hennes|hennes|—|—;hem|hem|home|casa;ger|ger|—|—;henne|henne|—|—;en|en|a|um;känsla|känsla|—|—;av|av|—|—;lugn|lugn|—|—;och|och|and|e;trygghet.|trygghet|security|segurança,Vi arbetar för ökad trygghet på gatorna i vår stad.,We are working for increased safety on the streets in our city.,Nós trabalhamos por mais segurança nas ruas da nossa cidade.,,Vi|vi|we|nós;arbetar|arbetar|—|—;för|för|—|—;ökad|ökad|—|—;trygghet|trygghet|security|segurança;på|på|on|em;gatorna|gatorna|—|—;i|i|in|em;vår|vår|—|—;stad.|stad|—|—,
kelly-5925-tryggt,tryggt,adverb,securely,com segurança,tryggt,C1,739,6.48,kelly,,,,,,,,,,,,,,,,
kelly-8139-tryne,tryne,noun,snout,focinho,tryne,C2,,0.75,kelly,,,,,,,,,,,,,,,,
kelly-2368-trad,tråd,noun,thread / wire,linha / cabo,tråd,A2,3472,30.46,kelly,Hon sydde fast knappen med en röd tråd.,She sewed the button on with a red thread.,Ela costurou o botão com uma linha vermelha.,,Hon|hon|she|ela;sydde|sydde|—|—;fast|fast|—|—;knappen|knappen|—|—;med|med|with|com;en|en|a|um;röd|röd|—|—;tråd.|tråd|thread|linha,Elektrikern kopplade ihop lampan med en tunn tråd.,The electrician connected the lamp with a thin wire.,O eletricista conectou a lâmpada com um fio fino.,,Elektrikern|elektrikern|—|—;kopplade|kopplade|—|—;ihop|ihop|—|—;lampan|lampan|—|—;med|med|with|com;en|en|a|um;tunn|tunn|—|—;tråd.|tråd|thread|linha,Det hänger en lång tråd från min tröja.,There is a long thread hanging from my sweater.,Tem uma linha longa pendurada no meu suéter.,,Det|det|it|isso;hänger|hänger|—|—;en|en|a|um;lång|lång|—|—;tråd|tråd|thread|linha;från|från|from|de;min|min|—|—;tröja.|tröja|—|—,
kelly-8298-tradbuss,trådbuss,noun,trolleybus / trackless trolley,tróleibus / trólebus,trådbuss,C2,,0.39,kelly,,,,,,,,,,,,,,,,
kelly-5718-tradlos,trådlös,adjective,wireless / cordless,sem fio,trådlös,C1,782,6.86,kelly,,,,,,,,,,,,,,,,
kelly-8055-trakighet,tråkighet,noun,boredom,tédio,tråkighet,C2,,1.02,kelly,,,,,,,,,,,,,,,,
kelly-5841-trakigt,tråkigt,adverb,boring,triste,tråkigt,C1,754,6.61,kelly,,,,,,,,,,,,,,,,
kelly-4104-trang,trång,adjective,tight / narrow,estreito,trång,B1,1412,12.39,kelly,,,,,,,,,,,,,,,,
kelly-4009-tra,trä,noun,wood / slip,madeira,trä,B1,1469,12.89,kelly,,,,,,,,,,,,,,,,
kelly-1798-trad,träd,noun,tree,árvore,träd,A2,5208,45.68,kelly,Det står ett gammalt träd utanför mitt hus.,There is an old tree outside my house.,Tem uma árvore velha do lado de fora da minha casa.,,Det|det|it|isso;står|står|—|—;ett|ett|a|um;gammalt|gammalt|—|—;träd|träd|tree|árvore;utanför|utanför|—|—;mitt|mitt|—|—;hus.|hus|—|—,Många fåglar bygger bo i detta stora träd.,Many birds build nests in this big tree.,Muitos pássaros constroem ninhos nesta árvore grande.,,Många|många|—|—;fåglar|fåglar|—|—;bygger|bygger|—|—;bo|bo|—|—;i|i|in|em;detta|detta|—|—;stora|stora|—|—;träd.|träd|tree|árvore,Barnen klättrar gärna upp i ett grönt träd.,The children like to climb up a green tree.,As crianças gostam de subir em uma árvore verde.,,Barnen|barnen|—|—;klättrar|klättrar|—|—;gärna|gärna|—|—;upp|upp|up|para cima;i|i|in|em;ett|ett|a|um;grönt|grönt|—|—;träd.|träd|tree|árvore,
kelly-1770-trada,träda,verb,fallow / step,barbeito,träda,A2,5308,46.56,kelly,Bonden lät åkern träda under hela den varma sommaren.,The farmer let the field lie fallow throughout the warm summer.,O fazendeiro deixou o campo em barbeito durante todo o verão quente.,past,Bonden|bonden|—|—;lät|lät|—|—;åkern|åkern|—|—;träda|träda|fallow|barbeito;under|under|—|—;hela|hela|—|—;den|den|it|ele;varma|varma|—|—;sommaren.|sommaren|—|—,Du måste träda försiktigt när du går på isen.,You must step carefully when you walk on the ice.,Você deve pisar com cuidado ao caminhar no gelo.,present,Du|du|you|você;måste|måste|—|—;träda|träda|fallow|barbeito;försiktigt|försiktigt|—|—;när|när|when|quando;du|du|you|você;går|går|—|—;på|på|on|em;isen.|isen|—|—,Hon kommer att träda in i rummet med ett leende.,She will step into the room with a smile.,Ela entrará na sala com um sorriso.,future,Hon|hon|she|ela;kommer|kommer|—|—;att|att|—|—;träda|träda|fallow|barbeito;in|in|—|—;i|i|in|em;rummet|rummet|—|—;med|med|with|com;ett|ett|a|um;leende.|leende|—|—,e.g. träda fram/in
kelly-2435-tradgard,trädgård,noun,garden,jardim,trädgård,A2,3325,29.17,kelly,Vi dricker kaffe i vår fina trädgård varje morgon.,We drink coffee in our nice garden every morning.,Nós tomamos café no nosso jardim bonito toda manhã.,,Vi|vi|we|nós;dricker|dricker|—|—;kaffe|kaffe|—|—;i|i|in|em;vår|vår|—|—;fina|fina|—|—;trädgård|trädgård|garden|jardim;varje|varje|—|—;morgon.|morgon|—|—,Barnen leker med en hund ute i den stora trädgården.,The children are playing with a dog out in the big garden.,As crianças estão brincando com um cachorro lá fora no jardim grande.,,Barnen|barnen|—|—;leker|leker|—|—;med|med|with|com;en|en|a|um;hund|hund|—|—;ute|ute|—|—;i|i|in|em;den|den|it|ele;stora|stora|—|—;trädgården.|trädgården|—|—,Det finns många röda blommor i min mammas trädgård.,There are many red flowers in my mother's garden.,Existem muitas flores vermelhas no jardim da minha mãe.,,Det|det|it|isso;finns|finns|—|—;många|många|—|—;röda|röda|—|—;blommor|blommor|—|—;i|i|in|em;min|min|—|—;mammas|mammas|—|—;trädgård.|trädgård|garden|jardim,
kelly-3804-traff,träff,noun,hit / meeting,encontro / reunião,träff,B1,1601,14.04,kelly,,,,,,,,,,,,,,,,
kelly-1481-trana,träna,verb,train / practice,praticar / treinar,träna;tränade;tränar,A2,6736,59.09,kelly,Jag tränade fotboll med mina vänner i går kväll.,I practiced soccer with my friends last night.,Eu treinei futebol com meus amigos ontem à noite.,past,Jag|jag|I|eu;tränade|tränade|—|—;fotboll|fotboll|—|—;med|med|with|com;mina|mina|—|—;vänner|vänner|—|—;i|i|in|em;går|går|—|—;kväll.|kväll|—|—,Hon tränar på gymmet varje tisdag efter skolan.,She trains at the gym every Tuesday after school.,Ela treina na academia toda terça-feira depois da escola.,present,Hon|hon|she|ela;tränar|tränar|—|—;på|på|on|em;gymmet|gymmet|—|—;varje|varje|—|—;tisdag|tisdag|—|—;efter|efter|—|—;skolan.|skolan|—|—,Vi ska träna inför det stora loppet nästa månad.,We are going to train for the big race next month.,Nós vamos treinar para a grande corrida no próximo mês.,future,Vi|vi|we|nós;ska|ska|will|vai;träna|träna|train|praticar;inför|inför|—|—;det|det|it|isso;stora|stora|—|—;loppet|loppet|—|—;nästa|nästa|—|—;månad.|månad|—|—,
kelly-3494-tranare,tränare,noun,coach / trainer,treinador,tränare,B1,1845,16.18,kelly,,,,,,,,,,,,,,,,
kelly-2542-tranga,tränga,verb,press,empurrar,tränga;trängde;i;tränger;på,A2,3095,27.15,kelly,Folk trängde sig in i den fulla bussen.,People pushed their way into the full bus.,As pessoas se empurraram para entrar no ônibus lotado.,past,Folk|folk|—|—;trängde|trängde|—|—;sig|sig|oneself|se;in|in|—|—;i|i|in|em;den|den|it|ele;fulla|fulla|—|—;bussen.|bussen|—|—,Solens strålar tränger genom de täta gardinerna.,The sun's rays press through the thick curtains.,Os raios de sol atravessam as cortinas grossas.,present,Solens|solens|—|—;strålar|strålar|—|—;tränger|tränger|—|—;genom|genom|—|—;de|de|they|eles;täta|täta|—|—;gardinerna.|gardinerna|—|—,Vi kommer att tränga ihop oss på soffan.,We will squeeze together on the sofa.,Nós vamos nos apertar no sofá.,future,Vi|vi|we|nós;kommer|kommer|—|—;att|att|—|—;tränga|tränga|press|empurrar;ihop|ihop|—|—;oss|oss|—|—;på|på|on|em;soffan.|soffan|—|—,e.g. tränga fram/in/ner/undan/upp
kelly-1649-traning,träning,noun,training,treinamento,träning,A2,5843,51.25,kelly,Min dagliga träning börjar tidigt varje morgon i parken.,My daily training starts early every morning in the park.,Meu treinamento diário começa cedo toda manhã no parque.,,Min|min|—|—;dagliga|dagliga|—|—;träning|träning|training|treinamento;börjar|börjar|—|—;tidigt|tidigt|early|cedo;varje|varje|—|—;morgon|morgon|—|—;i|i|in|em;parken.|parken|—|—,Hård träning är viktig för att bli en bra idrottare.,Hard training is important to become a good athlete.,Treinamento pesado é importante para se tornar um bom atleta.,,Hård|hård|—|—;träning|träning|training|treinamento;är|är|is|é;viktig|viktig|—|—;för|för|—|—;att|att|—|—;bli|bli|—|—;en|en|a|um;bra|bra|good|bom;idrottare.|idrottare|—|—,Efter en lång träning behöver kroppen vila och god mat.,"After a long training session, the body needs rest and good food.","Após um longo treinamento, o corpo precisa de descanso e boa comida.",,Efter|efter|—|—;en|en|a|um;lång|lång|—|—;träning|träning|training|treinamento;behöver|behöver|—|—;kroppen|kroppen|—|—;vila|vila|—|—;och|och|and|e;god|god|—|—;mat.|mat|food|comida,
kelly-6715-trog,trög,adjective,inert / slow,burro / ignorante,trög,C1,,4.32,kelly,,,,,,,,,,,,,,,,
kelly-3669-troja,tröja,noun,sweater,suéter / blusão,tröja,B1,1701,14.92,kelly,,,,,,,,,,,,,,,,
kelly-6359-troskel,tröskel,noun,threshold / doorstep,limiar / soleira,tröskel,C1,,5.47,kelly,,,,,,,,,,,,,,,,
kelly-4737-trost,tröst,noun,consolation / comfort,consolo / conforto,tröst,B2,1093,9.59,kelly,,,,,,,,,,,,,,,,
kelly-5733-trosta,trösta,verb,console / comfort,consolar / confortar,trösta,C1,777,6.82,kelly,,,,,,,,,,,,,,,,
kelly-5243-trotthet,trötthet,noun,fatigue / tiredness,cansaço,trötthet,B2,906,7.95,kelly,,,,,,,,,,,,,,,,
kelly-3455-trottna,tröttna,verb,tire,cansar,tröttna,B1,1896,16.63,kelly,,,,,,,,,,,,,,,,
kelly-2018-tuff,tuff,adjective,cool / demanding,difícil,tuff,A2,4363,38.27,kelly,Det var en tuff match för hela vårt fotbollslag igår.,It was a tough match for our entire football team yesterday.,Foi uma partida difícil para todo o nosso time de futebol ontem.,,Det|det|it|isso;var|var|was|era;en|en|a|um;tuff|tuff|cool|difícil;match|match|—|—;för|för|—|—;hela|hela|—|—;vårt|vårt|—|—;fotbollslag|fotbollslag|—|—;igår.|igår|yesterday|ontem,Vilken tuff jacka du har köpt i den nya butiken.,What a cool jacket you have bought in the new store.,Que jaqueta legal você comprou na loja nova.,,Vilken|vilken|—|—;tuff|tuff|cool|difícil;jacka|jacka|—|—;du|du|you|você;har|har|has|tem;köpt|köpt|—|—;i|i|in|em;den|den|it|ele;nya|nya|—|—;butiken.|butiken|—|—,Att lära sig ett nytt språk är en tuff utmaning.,Learning a new language is a demanding challenge.,Aprender um novo idioma é um desafio difícil.,,Att|att|—|—;lära|lära|—|—;sig|sig|oneself|se;ett|ett|a|um;nytt|nytt|—|—;språk|språk|—|—;är|är|is|é;en|en|a|um;tuff|tuff|cool|difícil;utmaning.|utmaning|—|—,
kelly-5852-tugga,tugga,verb,chew / mouthful,mastigar / bocado,tugga,C1,,6.59,kelly,,,,,,,,,,,,,,,,
kelly-7805-tuggummi,tuggummi,noun,chewing gum / chewie,chiclete / goma de mascar,tuggummi,C2,,1.57,kelly,,,,,,,,,,,,,,,,
kelly-3892-tull,tull,noun,customs / duty,aduana / alfândega,tull,B1,1545,13.55,kelly,,,,,,,,,,,,,,,,
kelly-7267-tum,tum,noun,inch,polegada,tum,C2,,2.83,kelly,,,,,,,,,,,,,,,,
kelly-5130-tumme,tumme,noun,thumb,polegar / dedo polegar,tumme,B2,941,8.25,kelly,,,,,,,,,,,,,,,,
kelly-7477-tumor,tumör,noun,tumor / tumour,tumor,tumör,C2,,2.38,kelly,,,,,,,,,,,,,,,,
kelly-4531-tunga,tunga,noun,tongue / sole,língua / solha,tunga,B2,1191,10.45,kelly,,,,,,,,,,,,,,,,
kelly-4638-tungt,tungt,adverb,heavily,dificilmente,tungt,B2,1140,10,kelly,,,,,,,,,,,,,,,,
kelly-3150-tunn,tunn,adjective,thin,fino,tunn,B1,2220,19.47,kelly,Isen på sjön är alldeles för tunn idag.,The ice on the lake is far too thin today.,O gelo no lago está fino demais hoje.,,Isen|isen|The ice|O gelo;på|på|on|no;sjön|sjön|the lake|lago;är|är|is|está;alldeles|alldeles|far|demais;för|för|too|muito;tunn|tunn|thin|fino;idag.|idag|today.|hoje.,Han bär en tunn tröja när det blåser ute.,He wears a thin sweater when it is windy outside.,Ele veste um suéter fino quando venta lá fora.,,Han|han|He|Ele;bär|bär|wears|veste;en|en|a|um;tunn|tunn|thin|fino;tröja|tröja|sweater|suéter;när|när|when|quando;det|det|it|venta;blåser|blåser|is windy|venta;ute.|ute|outside.|lá fora.,Detta papper är väldigt tunn för att skriva på.,This paper is very thin to write on.,Este papel é muito fino para escrever nele.,,Detta|detta|This|Este;papper|papper|paper|papel;är|är|is|é;väldigt|väldigt|very|muito;tunn|tunn|thin|fino;för|för|to|para;att|att|to|escrever;skriva|skriva|write|escrever;på.|på|on.|nele.,
kelly-7106-tunna,tunna,noun,barrel / cask,barril,tunna,C2,,3.2,kelly,,,,,,,,,,,,,,,,
kelly-4857-tunnel,tunnel,noun,tunnel / nutmeg,frango / túnel,tunnel,B2,1041,9.13,kelly,,,,,,,,,,,,,,,,
kelly-3688-tunnelbana,tunnelbana,noun,subway / tube,metro / metropolitano,tunnelbana,B1,1688,14.81,kelly,,,,,,,,,,,,,,,,
kelly-8147-tunnland,tunnland,noun,acre,acre,tunnland,C2,,0.74,kelly,,,,,,,,,,,,,,,,
kelly-488-tur,tur,noun,tour,sorte / turno,tur,A1,24684,216.52,kelly,Vilken tur att du hittade min borttappade nyckel idag.,What luck that you found my lost key today.,Que sorte que você encontrou minha chave perdida hoje.,,Vilken|vilken|—|—;tur|tur|luck|sorte;att|att|—|—;du|du|you|você;hittade|hittade|—|—;min|min|—|—;borttappade|borttappade|—|—;nyckel|nyckel|—|—;idag.|idag|today|hoje,Det är äntligen min tur att välja en film ikväll.,It is finally my turn to choose a movie tonight.,É finalmente a minha vez de escolher um filme hoje à noite.,,Det|det|it|isso;är|är|is|é;äntligen|äntligen|—|—;min|min|—|—;tur|tur|luck|sorte;att|att|—|—;välja|välja|—|—;en|en|a|um;film|film|—|—;ikväll.|ikväll|tonight|esta noite,Vi hade mycket tur med vädret under vår korta semester.,We had a lot of luck with the weather during our short vacation.,Nós tivemos muita sorte com o clima durante nossas férias curtas.,,Vi|vi|we|nós;hade|hade|had|tinha;mycket|mycket|much|muito;tur|tur|luck|sorte;med|med|with|com;vädret|vädret|—|—;under|under|—|—;vår|vår|—|—;korta|korta|—|—;semester.|semester|—|—,
kelly-4467-turism,turism,noun,tourism,turismo,turism,B2,1216,10.67,kelly,,,,,,,,,,,,,,,,
kelly-3228-turist,turist,noun,tourist,turista,turist,B1,2129,18.67,kelly,Varje turist besöker gärna det gamla slottet i staden.,Every tourist likes to visit the old castle in the city.,Todo turista gosta de visitar o castelo antigo na cidade.,,Varje|varje|Every|Todo;turist|turist|tourist|turista;besöker|besöker|visits|visita;gärna|gärna|gladly|gosta de;det|det|the|o;gamla|gamla|old|antigo;slottet|slottet|castle|castelo;i|i|in|na;staden.|staden|city.|cidade.,Många turister köper fina souvenirer på den lokala marknaden.,Many tourists buy nice souvenirs at the local market.,Muitos turistas compram lembranças bonitas no mercado local.,,Många|många|Many|Muitos;turister|turister|tourists|turistas;köper|köper|buy|compram;fina|fina|nice|bonitas;souvenirer|souvenirer|souvenirs|lembranças;på|på|at|no;den|den|the|o;lokala|lokala|local|local;marknaden.|marknaden|market.|mercado.,En ensam turist frågar efter vägen till närmaste tågstation.,A lonely tourist asks for the way to the nearest train station.,Um turista sozinho pergunta o caminho para a estação de trem mais próxima.,,En|en|A|Um;ensam|ensam|lonely|sozinho;turist|turist|tourist|turista;frågar|frågar|asks|pergunta;efter|efter|for|sobre;vägen|vägen|the way|o caminho;till|till|to|para;närmaste|närmaste|nearest|mais próxima;tågstation.|tågstation|train station.|estação de trem.,
kelly-4153-turk,turk,noun,Turk,turco / turca,turk,B1,1389,12.18,kelly,,,,,,,,,,,,,,,,
kelly-3481-turkisk,turkisk,adjective,Turkish,turco,turkisk,B1,1859,16.31,kelly,,,,,,,,,,,,,,,,
kelly-8075-turkos,turkos,noun,turquoise,turquesa,turkos,C2,,0.94,kelly,,,,,,,,,,,,,,,,
kelly-4810-turne,turné,noun,tour,passeio,turné,B2,1060,9.3,kelly,,,,,,,,,,,,,,,,
kelly-3064-turnering,turnering,noun,tournament,torneio,turnering,B1,2312,20.28,kelly,Vårt lag vann en stor turnering i fotboll igår.,Our team won a big tournament in soccer yesterday.,Nosso time ganhou um grande torneio de futebol ontem.,,Vårt|vårt|Our|Nosso;lag|lag|team|time;vann|vann|won|ganhou;en|en|a|um;stor|stor|big|grande;turnering|turnering|tournament|torneio;i|i|in|de;fotboll|fotboll|soccer|futebol;igår.|igår|yesterday.|ontem.,Hon tränar hårt inför nästa tennisturnering i staden.,She is training hard for the next tennis tournament in the city.,Ela está treinando duro para o próximo torneio de tênis na cidade.,,Hon|hon|She|Ela;tränar|tränar|is training|está treinando;hårt|hårt|hard|duro;inför|inför|for|para;nästa|nästa|next|próximo;tennisturnering|tennisturnering|tennis tournament|torneio de tênis;i|i|in|na;staden.|staden|the city.|cidade.,Många spelare deltar i denna internationella turnering varje år.,Many players participate in this international tournament every year.,Muitos jogadores participam deste torneio internacional todo ano.,,Många|många|Many|Muitos;spelare|spelare|players|jogadores;deltar|deltar|participate|participam;i|i|in|deste;denna|denna|this|torneio;internationella|internationella|international|internacional;turnering|turnering|tournament|torneio;varje|varje|every|todo;år.|år|year.|ano.,
kelly-8323-tursam,tursam,adjective,fortunate,(a)fortunado,tursam,C2,,0.32,kelly,,,,,,,,,,,,,,,,
kelly-76-tusen,tusen,numeral,thousand,mil,tusen,A1,,1000000,kelly,,,,,,,,,,,,,,,,
kelly-7243-tusental,tusental,noun,thousand / 1000s,mil,tusental,C2,,2.89,kelly,,,,,,,,,,,,,,,,
kelly-1396-tusentals,tusentals,adverb,thousands,milhares,tusentals,A1,7298,64.02,kelly,Det finns tusentals stjärnor på den mörka himlen ikväll.,There are thousands of stars in the dark sky tonight.,Existem milhares de estrelas no céu escuro esta noite.,,Det|det|it|isso;finns|finns|—|—;tusentals|tusentals|thousands|milhares;stjärnor|stjärnor|—|—;på|på|on|em;den|den|it|ele;mörka|mörka|—|—;himlen|himlen|—|—;ikväll.|ikväll|tonight|esta noite,Tusentals människor besöker den stora parken varje solig sommar.,Thousands of people visit the big park every sunny summer.,Milhares de pessoas visitam o grande parque todo verão ensolarado.,,Tusentals|tusentals|thousands|milhares;människor|människor|—|—;besöker|besöker|—|—;den|den|it|ele;stora|stora|—|—;parken|parken|—|—;varje|varje|—|—;solig|solig|—|—;sommar.|sommar|—|—,Jag har läst tusentals sidor i mina gamla böcker.,I have read thousands of pages in my old books.,Eu li milhares de páginas nos meus livros antigos.,,Jag|jag|I|eu;har|har|has|tem;läst|läst|—|—;tusentals|tusentals|thousands|milhares;sidor|sidor|—|—;i|i|in|em;mina|mina|—|—;gamla|gamla|—|—;böcker.|böcker|—|—,
kelly-3543-tveka,tveka,verb,hesitate,hesitar,tveka,B1,1797,15.76,kelly,,,,,,,,,,,,,,,,
